,siteID,med_force,geom,sum10,sum50,mean
0,7C15,0.169,POINT (742674.8701633466 4325579.842926132),31.749000000000002,289.4200000000001,0.22535305591677504
0,8C11,0.256,POINT (741936.9194944287 4326490.80691265),45.370999999999995,436.65799999999996,0.3814761248852158
0,8N38,0.162,POINT (745305.4100688281 4324000.404223504),30.991,224.32100000000003,0.20553836150845253
0,9C16,0.23,POINT (742580.3572878629 4325429.433603208),28.169000000000004,310.639,0.28292080069625763
0,9C17,0.172,POINT (743040.1946568671 4324966.391389657),39.661,264.485,0.23070676202860857
0,2C12,0.413,POINT (742228.8066448511 4326412.908045489),66.578,1411.966,0.8799112458654906
0,5N10,0.136,POINT (742378.0630868014 4324185.610036452),49.007999999999996,241.708,0.1699557867360208
0,5N19,0.16,POINT (743220.1991249677 4324254.402630123),25.721000000000004,296.328,0.25056361966008267
0,5S43,0.162,POINT (746925.6160243092 4322662.123485331),34.066,247.123,0.21804394046775336
0,8N25,0.104,POINT (743617.8662031549 4324414.623553032),12.670000000000005,144.066,0.13266735537190083
0,9S51,0.156,POINT (748320.5149237177 4322634.36665694),34.023,220.24,0.1909551365409623
0,1N23,0.275,POINT (743549.0533484932 4324074.696181611),58.165,479.286,0.5279523204068658
0,1S8,0.34,POINT (742607.5195255247 4322918.644637003),99.42500000000001,568.171,0.45566523605150216
0,2S11,0.415,POINT (743112.6022346141 4322921.936087797),104.46600000000001,730.356,0.54943760539629
0,5N11,0.238,POINT (742374.7514358244 4324464.812565038),196.34100000000004,589.2139999999999,0.4233699530516432
0,5N15,0.404,POINT (743057.5534737065 4324276.07838158),73.187,635.241,0.5374735896514553
