Location,Site,PitID,Date/Local Time,UTM Zone,Easting (m),Northing (m),Density A Mean (kg/m^3),Density B Mean (kg/m^3),Density Mean (kg/m^3),SWE A (mm),SWE B (mm),SWE Mean (mm),Snow Depth (cm)
Grand Mesa,1C14,COGM1C14_20200131,2020-01-31T14:01,12N,742453,4325752,264.27,267.68,265.98,214.06,216.82,215.44,81
Grand Mesa,1C1,COGM1C1_20200131,2020-01-31T11:07,12N,740508,4327577,248.87,259.76,254.31,206.56,215.60,211.08,83
Grand Mesa,1C1,COGM1C1_20200208,2020-02-08T08:30,12N,740506,4327589,283.73,294.31,289.02,218.47,226.62,222.55,77
Grand Mesa,1C5,COGM1C5_20200212,2020-02-12T11:26,12N,740919,4327334,312.20,303.73,307.97,234.15,227.80,230.98,75
Grand Mesa,1C7,COGM1C7_20200131,2020-01-31T10:55,12N,741378,4326992,281.15,279.79,280.47,269.90,268.60,269.25,96
Grand Mesa,1C8,COGM1C8_20200131,2020-01-31T15:10,12N,741493,4326833,270.44,270.56,270.50,232.58,232.68,232.63,86
Grand Mesa,1N1,COGM1N1_20200208,2020-02-08T08:56,12N,740503,4324293,298.66,300.15,299.40,200.10,201.10,200.60,67
Grand Mesa,1N20,COGM1N20_20200205,2020-02-05T13:30,12N,743281,4324005,262.34,292.06,277.20,91.82,102.22,97.02,35
Grand Mesa,1N23,COGM1N23_20200211,2020-02-11T15:50,12N,743548,4324077,305.97,315.12,310.54,208.06,214.28,211.17,68
Grand Mesa,1N3,COGM1N3_20200211,2020-02-11T11:08,12N,740759,4324208,278.51,279.22,278.87,186.60,187.08,186.84,67
Grand Mesa,1N5,COGM1N5_20200211,2020-02-11T15:04,12N,741369,4324492,284.59,282.07,283.33,250.44,248.22,249.33,88
Grand Mesa,1N6,COGM1N6_20200128,2020-01-28T13:20,12N,741510,4324472,257.52,258.66,258.09,236.92,237.97,237.45,92
Grand Mesa,1N7,COGM1N7_20200211,2020-02-11T13:40,12N,741866,4324050,342.02,337.86,339.94,287.30,283.80,285.55,84
Grand Mesa,1S12,COGM1S12_20200211,2020-02-11T09:17,12N,743158,4322557,297.33,300.89,299.11,267.60,270.80,269.20,90
Grand Mesa,1S13,COGM1S13_20200205,2020-02-05T13:15,12N,743277,4322508,320.05,318.31,319.18,265.64,264.20,264.92,83
Grand Mesa,1S17,COGM1S17_20200208,2020-02-08T15:30,12N,743987,4322748,293.90,290.27,292.08,288.02,284.46,286.24,98
Grand Mesa,1S1,COGM1S1_20200129,2020-01-29T09:05,12N,741920,4322845,245.55,246.39,245.97,203.81,204.50,204.15,83
Grand Mesa,1S2,COGM1S2_20200208,2020-02-08T09:37,12N,742115,4322712,283.11,289.82,286.46,232.15,237.65,234.90,82
Grand Mesa,1S8,COGM1S8_20200201,2020-02-01T09:00,12N,742607,4322917,264.43,259.49,261.96,195.68,192.02,193.85,74
Grand Mesa,2C12,COGM2C12_20200212,2020-02-12T08:48,12N,742229,4326414,281.44,277.56,279.50,253.30,249.80,251.55,90
Grand Mesa,2C13,COGM2C13_20200212,2020-02-12T10:12,12N,742229,4326011,277.95,281.15,279.55,216.80,219.30,218.05,78
Grand Mesa,2C2,COGM2C2_20200131,2020-01-31T09:00,12N,740652,4327445,288.01,282.46,285.24,250.57,245.74,248.15,87
Grand Mesa,2C33,COGM2C33_20200130,2020-01-30T15:00,12N,745787,4322066,283.94,276.31,280.12,278.26,270.78,274.52,98
Grand Mesa,2C3,COGM2C3_20200131,2020-01-31T12:27,12N,740765,4327379,258.16,261.01,259.59,180.71,182.71,181.71,70
Grand Mesa,2C4,COGM2C4_20200131,2020-01-31T10:05,12N,740839,4327345,278.68,272.36,275.52,245.24,239.68,242.46,88
Grand Mesa,2C6,COGM2C6_20200131,2020-01-31T14:05,12N,741132,4327061,312.79,307.13,309.96,300.28,294.84,297.56,96
Grand Mesa,2C9,COGM2C9_20200131,2020-01-31T11:50,12N,741580,4326713,264.21,265.47,264.84,251.00,252.20,251.60,95
Grand Mesa,2N12,COGM2N12_20200131,2020-01-31T09:05,12N,742466,4324372,278.51,279.40,278.95,275.72,276.61,276.16,99
Grand Mesa,2N13,COGM2N13_20200206,2020-02-06T09:32,12N,742685,4324287,324.10,327.00,325.55,450.50,454.53,452.52,139
Grand Mesa,2N14,COGM2N14_20200211,2020-02-11T13:00,12N,742850,4324221,295.77,298.52,297.15,283.94,286.58,285.26,96
Grand Mesa,2N21,COGM2N21_20200211,2020-02-11T15:00,12N,743466,4324104,296.17,301.99,299.08,305.06,311.05,308.05,103
Grand Mesa,2N48,COGM2N48_20200201,2020-02-01T14:51,12N,746802,4324222,262.20,270.94,266.57,254.33,262.81,258.57,97
Grand Mesa,2N49,COGM2N49_20200210,2020-02-10T15:16,12N,746800,4323946,336.42,321.37,328.89,319.60,305.30,312.45,95
Grand Mesa,2N4,COGM2N4_20200128,2020-01-28T11:25,12N,740811,4324488,273.98,279.40,276.69,235.62,240.28,237.95,86
Grand Mesa,2N8,COGM2N8_20200208,2020-02-08T09:51,12N,742054,4324454,295.29,282.82,289.06,251.00,240.40,245.70,85
Grand Mesa,2S10,COGM2S10_20200205,2020-02-05T09:45,12N,743076,4322689,287.40,298.68,293.04,221.30,229.98,225.64,77
Grand Mesa,2S11,COGM2S11_20200201,2020-02-01T11:00,12N,743109,4322924,281.70,283.70,282.70,281.70,283.70,282.70,100
Grand Mesa,2S16,COGM2S16_20200208,2020-02-08T14:05,12N,743950,4322638,286.74,295.51,291.13,269.54,277.78,273.66,94
Grand Mesa,2S20,COGM2S20_20200206,2020-02-06T08:47,12N,744458,4322697,257.61,261.25,259.43,237.00,240.35,238.68,92
Grand Mesa,2S25,COGM2S25_20200129,2020-01-29T08:50,12N,745161,4322395,275.86,278.40,277.13,284.14,286.75,285.45,103
Grand Mesa,2S27,COGM2S27_20200204,2020-02-04T15:15,12N,745251,4322588,277.86,272.86,275.36,194.50,191.00,192.75,70
Grand Mesa,2S35,COGM2S35_20200130,2020-01-30T13:10,12N,745678,4322446,263.82,272.99,268.40,261.18,270.26,265.72,99
Grand Mesa,2S36,COGM2S36_20200129,2020-01-29T13:38,12N,745711,4322356,250.37,253.11,251.74,237.85,240.45,239.15,95
Grand Mesa,2S37,COGM2S37_20200201,2020-02-01T08:40,12N,745937,4322754,283.87,280.40,282.13,295.22,291.62,293.42,104
Grand Mesa,2S3,COGM2S3_20200129,2020-01-29T10:35,12N,742155,4322840,230.58,236.42,233.50,152.18,156.04,154.11,66
Grand Mesa,2S45,COGM2S45_20200210,2020-02-10T08:44,12N,747316,4322396,266.13,268.93,267.53,242.18,244.73,243.46,91
Grand Mesa,2S46,COGM2S46_20200204,2020-02-04T10:30,12N,747466,4322453,274.52,294.70,284.61,244.32,262.28,253.30,89
Grand Mesa,2S48,COGM2S48_20200129,2020-01-29T09:10,12N,747670,4322397,259.24,263.29,261.26,220.35,223.80,222.08,85
Grand Mesa,2S4,COGM2S4_20200205,2020-02-05T09:30,12N,742304,4322496,386.92,360.89,373.91,286.32,267.06,276.69,74
Grand Mesa,2S6,COGM2S6_20200211,2020-02-11T11:25,12N,742602,4322943,321.07,314.84,317.96,285.75,280.21,282.98,89
Grand Mesa,2S7,COGM2S7_20200208,2020-02-08T11:35,12N,742605,4322584,278.00,282.80,280.40,208.50,212.10,210.30,75
Grand Mesa,2S9,COGM2S9_20200205,2020-02-05T10:55,12N,743083,4322876,265.14,281.71,273.43,185.60,197.20,191.40,70
