Location,Site,PitID,Date/Local Time,UTM Zone,Easting (m),Northing (m),Precipitation,Sky,Wind,Ground Condition,Ground Roughness,Ground Vegetation,Height of Ground Vegetation (cm),Canopy
Grand Mesa,1C14,COGM1C14_20200131,2020-01-31T14:01,12N,742453,4325752,None,Overcast(complete cover),Light,Frozen,Smooth,Grass | Shrub,3 | 39,No Trees
Grand Mesa,1C1,COGM1C1_20200131,2020-01-31T11:07,12N,740508,4327577,None,Overcast(complete cover),Calm,Frozen,Rough,Grass | Shrub,14 | 25,No Trees
Grand Mesa,1C1,COGM1C1_20200208,2020-02-08T08:30,12N,740506,4327589,None,Few (< 1/4 of sky),Moderate,Frozen,Smooth,Grass | Shrub,5 | 25,No Trees
Grand Mesa,1C5,COGM1C5_20200212,2020-02-12T11:26,12N,740919,4327334,None,Broken (> 1/2 of sky),Light,Frozen,Rugged,Shrub,35-75,No Trees
Grand Mesa,1C7,COGM1C7_20200131,2020-01-31T10:55,12N,741378,4326992,None,Overcast(complete cover),Calm,Frozen,Smooth,Shrub,20,No Trees
Grand Mesa,1C8,COGM1C8_20200131,2020-01-31T15:10,12N,741493,4326833,None,Clear,Calm,Frozen,Smooth,Shrub,50,No Trees
Grand Mesa,1N1,COGM1N1_20200208,2020-02-08T08:56,12N,740503,4324293,None,Few (< 1/4 of sky),Moderate,Frozen,Smooth,Grass | Shrub,5 - 10 | 10 - 20,No Trees
Grand Mesa,1N20,COGM1N20_20200205,2020-02-05T13:30,12N,743281,4324005,None,Few (< 1/4 of sky),Moderate,Frozen,Rough,Grass,5,No Trees
Grand Mesa,1N23,COGM1N23_20200211,2020-02-11T15:50,12N,743548,4324077,None,Clear,Calm,Frozen,Smooth,Grass | Shrub,18 | 23,No Trees
Grand Mesa,1N3,COGM1N3_20200211,2020-02-11T11:08,12N,740759,4324208,None,Clear,Calm,Frozen,Smooth,Bare | Grass | Shrub,5 | 20,No Trees
Grand Mesa,1N5,COGM1N5_20200211,2020-02-11T15:04,12N,741369,4324492,None,Clear,Calm,Frozen,Smooth,Grass | Shrub,20 | 20,No Trees
